ID Curso,CATÁLOGO,Descripción,Materia,SEM,CRÉ,Horas SEM,Carrera,OPTATIVA,ACADEMIA,LAB,FICT,Jefe de Academia,Horas totales,
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ICA1A,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA,MATE_ING,1,8,4,ICA1A,,MAT,A,,"Alejo Reyes, Avelina",128,4
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,ICA1A,,MEC,A,L,"Montoya Márquez, Orlando",112,3.5
28444,ETF101,QUÍMICA,ETF_ING,1,7,4,ICA1A,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28444,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,ICA1A,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28445,ESC101,TOPOGRAFÍA A,ESTC_ING,1,6,3,ICA1A,,CONS,A,,"Acosta Acosta,Darío Fernando",96,3
28451,ESC103,LAB. TOPOGRAFÍA A,ESTC_ING,1,4,3,ICA1A,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
28451,ESC103,MATERIALES Y PROCESOS CONSTRUC ICA,ESTC_ING,1,4,3,ICA1A,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ICA1B,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA,MATE_ING,1,8,4,ICA1B,,MAT,A,,"Alejo Reyes, Avelina",128,4
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,ICA1B,,MEC,A,L,"Montoya Márquez, Orlando",112,3.5
28444,ETF101,QUÍMICA,ETF_ING,1,7,4,ICA1B,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28444,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,ICA1B,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28445,ESC101,TOPOGRAFÍA B,ESTC_ING,1,6,3,ICA1B,,CONS,A,,"Acosta Acosta,Darío Fernando",96,3
28451,ESC103,LAB. TOPOGRAFÍA B,ESTC_ING,1,4,3,ICA1B,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
28451,ESC103,MATERIALES Y PROCESOS CONSTRUC ICA,ESTC_ING,1,4,3,ICA1B,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ICA2A,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,ICA2A,,MAT,A,,"Alejo Reyes, Avelina",128,4
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,ICA2A,,MEC,A,L,"Montoya Márquez, Orlando",112,3.5
28444,ETF101,QUÍMICA,ETF_ING,1,7,4,ICA2A,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28444,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,ICA2A,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28445,ESC101,TOPOGRAFÍA A,ESTC_ING,1,6,3,ICA2A,,CONS,A,,"Acosta Acosta,Darío Fernando",96,3
28451,ESC103,LAB. TOPOGRAFÍA A,ESTC_ING,1,4,3,ICA2A,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
28451,ESC103,MATERIALES Y PROCESOS CONSTRUC ICA,ESTC_ING,1,4,3,ICA2A,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ICA2B,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,ICA2B,,MAT,A,,"Alejo Reyes, Avelina",128,4
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,ICA2B,,MEC,A,L,"Montoya Márquez, Orlando",112,3.5
28444,ETF101,QUÍMICA,ETF_ING,1,7,4,ICA2B,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28444,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,ICA2B,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28445,ESC101,TOPOGRAFÍA B,ESTC_ING,1,6,3,ICA2B,,CONS,A,,"Acosta Acosta,Darío Fernando",96,3
28451,ESC103,LAB. TOPOGRAFÍA B,ESTC_ING,1,4,3,ICA2B,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
28451,ESC103,MATERIALES Y PROCESOS CONSTRUC ICA,ESTC_ING,1,4,3,ICA2B,,CONS,A,L,"Acosta Acosta,Darío Fernando",64,2
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IID1,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA,MATE_ING,1,8,4,IID1,,MAT,A,,"Alejo Reyes, Avelina",128,4
28921,IDI102,PRINCIPIOS DE DIBUJO,IDI_ING,1,6,3,IID1,,IDI,A,,"Rosa Sierra, Luis Alberto",96,3
28922,IDI105,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,5,3,IID1,,IDI,A,O,"Rosa Sierra, Luis Alberto",80,2.5
29567,IDI101,TALLER DE METODOLOGÍA DEL DISE,IDI_ING,1,8,5,IID1,,IDI,A,O,"Rosa Sierra, Luis Alberto",128,4
29568,IDI111,GEOMETRÍA Y TRIGONOMETRÍA,IDI_ING,1,6,3,IID1,,IDI,A,,"Rosa Sierra, Luis Alberto",96,3
29567,IDI101,TALLER CMD IDI,IDI_ING,1,8,5,IID1,,IDI,A,O,"Rosa Sierra, Luis Alberto",128,4
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IID2,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,IID2,,MAT,A,,"Alejo Reyes, Avelina",128,4
28921,IDI102,PRINCIPIOS DE DIBUJO,IDI_ING,1,6,3,IID2,,IDI,A,,"Rosa Sierra, Luis Alberto",96,3
28922,IDI105,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,5,3,IID2,,IDI,A,O,"Rosa Sierra, Luis Alberto",80,2.5
29567,IDI101,TALLER DE METODOLOGÍA DEL DISE,IDI_ING,1,8,5,IID2,,IDI,A,O,"Rosa Sierra, Luis Alberto",128,4
29568,IDI111,GEOMETRÍA Y TRIGONOMETRÍA,IDI_ING,1,6,3,IID2,,IDI,A,,"Rosa Sierra, Luis Alberto",96,3
29568,IDI111,TALLER CMD IDI,IDI_ING,1,6,3,IID2,,IDI,A,,"Rosa Sierra, Luis Alberto",96,3
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IIN1,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,IIN1,,MAT,A,,"Alejo Reyes, Avelina",96,3
25871,COM101,ANÁLISIS Y DISEÑO DE ALGORITMOS,COMP_ING,1,8,4,IIN1,,COM,A,,"Del Valle Soto, Carolina",64,2
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN1,,MEC,A,L,"Montoya Márquez, Orlando",64,2
25872,COE002,REDACCIÓN,COE_ING,1,6,3,IIN1,,ESA,A,,"Ramos Jiménez, Alfredo Segismundo",128,4
29524,DOP120,DISEÑO ASISTIDO POR COMPUTADOR,DOPE_ING,1,2,4,IIN1,,DOP,A,,"Nucamendi Guillén, Samuel Moisés",96,3
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IIN2,,HUM,A,,0,96,3
25869,MAT101,CÁLCULO DIFERENCIAL,MATE_ING,1,8,4,IIN2,,MAT,A,,"Alejo Reyes, Avelina",96,3
25870,MAT102,ÁLGEBRA,MATE_ING,1,8,4,IIN2,,MAT,A,,"Alejo Reyes, Avelina",96,3
25871,COM101,ANÁLISIS Y DISEÑO DE ALGORITMOS,COMP_ING,1,8,4,IIN2,,COM,A,,"Del Valle Soto, Carolina",64,2
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,4,IIN2,,MEC,A,L,"Montoya Márquez, Orlando",64,2
25872,COE002,REDACCIÓN,COE_ING,1,6,3,IIN2,,ESA,A,,"Ramos Jiménez, Alfredo Segismundo",128,4
29524,DOP120,DISEÑO ASISTIDO POR COMPUTADOR,DOPE_ING,1,2,4,IIN2,,DOP,A,,"Nucamendi Guillén, Samuel Moisés",96,3
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IME,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,128,IME,,MAT,A,,"Alejo Reyes, Avelina",128,4
25872,COE002,REDACCIÓN,COE_ING,1,6,96,IME,,ESA,A,,"Ramos Jiménez, Alfredo Segismundo",96,3
34849,LAB,TALLER CMD MEC,MECA_ING,1,6,96,IME,,ESA,A,,"Ramos Jiménez, Alfredo Segismundo",96,3
28443,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,112,IME,,MEC,A,L,"Montoya Márquez, Orlando",112,3.5
28444,ETF101,QUÍMICA,ETF_ING,1,7,4,IME,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28444,ETF101,LAB. QUÍMICA,ETF_ING,1,7,4,IME,,ETF,A,L,"Ortiz Ibarra, Héctor",112,3.5
28920,MEC102,DISEÑO LÓGICO,MECA_ING,1,6,96,IME,,MEC,A,O,"Montoya Márquez, Orlando",96,3
28920,MEC102,LAB. DISEÑO LÓGICO,MECA_ING,1,6,96,IME,,MEC,A,O,"Montoya Márquez, Orlando",96,3
29038,COM101,ANÁLISIS Y DISEÑO DE ALGORITMOS,COMP_ING,1,8,128,IME,,COM,A,O,"Del Valle Soto, Carolina",128,4
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,CSE,,HUM,A,,0,96,3
25870,MAT102,ÁLGEBRA AMPLIADA,MATE_ING,1,8,128,CSE,,MAT,A,,"Alejo Reyes, Avelina",128,4
25871,COM101,ANÁLISIS Y DISEÑO DE ALGORITMOS,COMP_ING,1,8,128,CSE,,COM,A,,"Del Valle Soto, Carolina",128,4
25872,COE002,REDACCIÓN,COE_ING,1,6,96,CSE,,ESA,A,,"Ramos Jiménez, Alfredo Segismundo",96,3
25873,MEC101,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,MECA_ING,1,7,112,CSE,,MEC,L,,"Montoya Márquez, Orlando",112,3.5
